myoTS,myox,myoy,myoz
1454429398,myox,myoy,myoz
2358355433,0.384766,-0.0219727,0.930176
2358379139,0.369629,-0.0283203,0.93457
2358394079,0.356445,-0.0405273,0.943848
2358415495,0.352051,-0.0463867,0.942383
2358439120,0.356934,-0.0571289,0.950684
2358484069,0.353027,-0.0605469,0.947754
2358493089,0.348633,-0.0561523,0.943359
2358501840,0.353516,-0.0449219,0.937012
2358516817,0.363281,-0.0332031,0.941895
2358536865,0.369141,-0.0332031,0.943359
2358559094,0.371582,-0.0415039,0.938477
2358603444,0.371094,-0.0395508,0.937012
2358604202,0.366211,-0.0341797,0.927734
2358617798,0.364746,-0.03125,0.931641
2358634153,0.370117,-0.027832,0.933105
2358656675,0.373047,-0.0395508,0.945801
2358677759,0.378906,-0.0478516,0.957031
2358694151,0.372559,-0.0395508,0.953125
2358716688,0.359863,-0.0195312,0.944824
2358737705,0.391602,-0.0551758,0.902344
2358754152,0.324219,0.000976562,0.95166
2358776660,0.317383,-0.0473633,0.94043
2358797754,0.285156,-0.0483398,0.925781
2358814164,0.433594,-0.0234375,1.01416
2358836678,0.40918,-0.0317383,0.915527
2358857743,0.321777,-0.0600586,0.936523
2358874205,0.366211,-0.0629883,0.927246
2358896673,0.416016,-0.0253906,0.92334
2358917757,0.346191,-0.0878906,0.941895
2358934201,0.32666,-0.090332,0.947754
2358956715,0.335938,-0.0385742,0.928711
2358977772,0.331055,-0.108887,0.936035
2359003266,0.38916,-0.0913086,0.953125
2359016770,0.388184,-0.112793,0.95166
2359037790,0.339844,-0.078125,0.954102
2359054174,0.317871,-0.0961914,0.923828
2359076674,0.341309,-0.0864258,0.943359
2359097734,0.361328,-0.108887,0.936035
2359114226,0.393555,-0.0893555,0.950684
2359136700,0.345215,-0.0800781,0.959961
2359157742,0.34375,-0.0795898,0.937012
2359174202,0.35498,-0.0849609,0.9375
2359196692,0.400879,-0.0957031,0.93457
2359219170,0.361328,-0.0986328,0.950684
2359234230,0.321289,-0.0742188,0.936523
2359256699,0.341309,-0.0791016,0.934082
2359279183,0.368652,-0.0405273,0.92627
2359294199,0.360352,-0.0385742,0.936523
2359316669,0.349609,-0.0668945,0.947754
2359339199,0.333008,-0.0668945,0.938477
2359354189,0.351074,-0.0561523,0.944824
2359376698,0.362793,-0.0649414,0.960938
2359399171,0.381836,-0.0825195,0.965332
2359414173,0.359375,-0.0883789,0.95166
2359436695,0.338867,-0.0717773,0.950195
2359459257,0.348145,-0.0571289,0.95459
2359474188,0.356934,-0.0610352,0.978027
2359496732,0.34375,-0.0585938,0.962891
2359519241,0.315918,-0.0209961,0.943848
2359540263,0.312012,0.0136719,0.930176
2359555944,0.325684,0.00878906,0.941406
2359578446,0.324707,-0.0161133,0.955566
2359592746,0.305664,-0.0410156,0.95752
2359616685,0.295898,-0.050293,0.965332
2359638444,0.291504,-0.0371094,0.961914
2359652750,0.287598,-0.0131836,0.968262
2359675262,0.287598,-0.00341797,0.969238
2359698419,0.277832,0.00537109,0.969238
2359712738,0.262207,0.00585938,0.959961
2359735242,0.273926,0.00927734,0.958008
2359758441,0.280273,0.00341797,0.965332
2359772747,0.276855,-0.00439453,0.976562
2359795284,0.263184,-0.00585938,0.96875
2359818450,0.257324,-0.00488281,0.972656
2359832784,0.251953,0.012207,0.962891
2359855315,0.250488,0.0253906,0.963867
2359878456,0.249023,0.0234375,0.967285
2359892768,0.251465,0.0107422,0.97168
2359915245,0.248047,0.0112305,0.972656
2359938468,0.240723,0.00292969,0.976562
2359952744,0.255371,-0.000488281,0.975098
2359975311,0.26709,-0.0166016,0.985352
2359998435,0.259766,-0.0253906,0.983398
2360012781,0.246094,-0.0356445,0.982422
2360035263,0.23584,-0.0356445,0.979004
2360058455,0.226074,-0.0234375,0.963379
2360072806,0.237793,0.00195312,0.956055
2360095306,0.232422,0.015625,0.965332
2360118449,0.233887,0.0351562,0.976074
2360132803,0.250977,0.0576172,0.966797
2360155311,0.269531,0.043457,0.975586
2360178423,0.274414,0.0161133,0.997559
2360192826,0.263672,-0.0146484,1.00488
2360215275,0.256348,-0.0234375,0.99707
2360238471,0.253418,-0.000976562,0.984375
2360252770,0.256836,0.0131836,0.96582
2360275255,0.258301,0.0185547,0.971191
2360298419,0.25,0.0126953,0.970703
2360312772,0.249023,0.0244141,0.965332
2360336723,0.256348,0.0410156,0.975586
2360358444,0.265137,0.0371094,0.983398
2360372776,0.265625,0.0385742,0.983398
2360395281,0.250488,0.0234375,0.978027
2360418411,0.247559,0.0175781,0.98291
2360432800,0.248047,0.0141602,0.977051
2360455295,0.257812,0.00830078,0.966309
2360478442,0.256348,0.00341797,0.971191
2360492836,0.259277,-0.00292969,0.977051
2360515256,0.257324,-0.0146484,0.977539
2360538462,0.262207,-0.00927734,0.976562
2360552886,0.259766,-0.0151367,0.980469
2360575461,0.254395,-0.0166016,0.976562
2360598477,0.250977,-0.0151367,0.977539
2360612936,0.253418,-0.00634766,0.979492
2360635397,0.254883,-0.00244141,0.978027
2360658054,0.254883,-0.00146484,0.975586
2360673035,0.256348,-0.00292969,0.975586
2360695401,0.261719,-0.000976562,0.975586
2360718008,0.262207,-0.00976562,0.983398
2360732928,0.26416,-0.0175781,0.978027
2360755479,0.256348,-0.0219727,0.97998
2360777991,0.251465,-0.0180664,0.980469
2360792984,0.258301,-0.00341797,0.971191
2360815405,0.263184,0.0078125,0.975586
2360837994,0.266113,0.0141602,0.975098
2360852797,0.266602,0.00195312,0.974121
2360875514,0.256348,-0.0136719,0.979492
2360897834,0.253906,-0.0151367,0.975586
2360912783,0.253418,-0.00488281,0.975098
2360935283,0.259766,-0.00195312,0.975098
2360957717,0.259277,0.000976562,0.982422
2360972753,0.271484,-0.00439453,0.979004
2360995297,0.274902,-0.00439453,0.975098
2361017866,0.278809,-0.00488281,0.976562
2361033026,0.273438,-0.00390625,0.972168
2361055396,0.269531,-0.0117188,0.976562
2361077997,0.269531,-0.0107422,0.970703
2361093029,0.26123,-0.00878906,0.965332
2361115513,0.261719,-0.00537109,0.972656
2361137885,0.261719,-0.00244141,0.978516
2361153098,0.260742,-0.00195312,0.979492
2361175480,0.253906,-0.0126953,0.973633
2361197991,0.25,-0.0170898,0.976562
2361212946,0.25,-0.015625,0.978027
2361235295,0.258301,-0.000976562,0.973633
2361257757,0.256836,0.00488281,0.974121
2361272977,0.26123,-0.00439453,0.972168
2361296874,0.26416,-0.0107422,0.971191
2361317834,0.268066,-0.0151367,0.973633
2361332947,0.27002,-0.0195312,0.976562
2361355385,0.265137,-0.0244141,0.980957
2361377872,0.265625,-0.0361328,0.977051
2361394324,0.261719,-0.0273438,0.976074
2361415501,0.262695,-0.00878906,0.969238
2361437931,0.265625,-0.000976562,0.960449
2361454367,0.261719,0,0.972168
2361475293,0.335938,0.00537109,0.975098
2361497776,0.261719,-0.00976562,0.973633
2361514221,0.266113,-0.0102539,0.969727
2361535405,0.265625,-0.0209961,0.975586
2361558030,0.243164,-0.0107422,0.966309
2361574217,0.282715,-0.00732422,0.980469
2361595523,0.28125,0.0283203,0.984375
2361617848,0.276855,0.0405273,0.97998
2361634317,0.285645,0.00439453,0.989258
2361655459,0.28125,-0.0117188,0.981934
2361677993,0.275391,-0.0117188,0.980469
2361694320,0.283203,-0.027832,0.994629
2361715493,0.29541,-0.00244141,0.976074
2361737925,0.342285,-0.0703125,0.959473
2361754295,0.231934,-0.0419922,0.967773
2361775290,0.28418,-0.0229492,0.963379
2361797780,0.277344,-0.0258789,0.952148
2361814258,0.251953,-0.0263672,0.966309
2361835514,0.256836,-0.0185547,0.974609
2361857933,0.254395,-0.00341797,0.977539
2361874347,0.255371,-0.000976562,0.983398
2361895507,0.249512,-0.0117188,0.990234
2361917975,0.254395,-0.0102539,0.979492
2361934307,0.26416,0.000488281,0.96582
2361955475,0.277344,0.00585938,0.967773
2361978087,0.275391,-0.00537109,0.959473
2361994271,0.276367,-0.0151367,0.963379
2362015498,0.273926,-0.0195312,0.967773
2362037941,0.279297,-0.0209961,0.979004
2362054364,0.280273,-0.0224609,0.978516
2362075269,0.278809,-0.0136719,0.978516
2362097811,0.271973,-0.0126953,0.984375
2362114253,0.274414,-0.0180664,0.977539
2362135441,0.262207,-0.0136719,0.972656
2362157928,0.262695,-0.00732422,0.975586
2362174300,0.261719,0.00537109,0.972168
2362195594,0.263672,0.00244141,0.965332
2362218064,0.260742,0,0.970703
2362234369,0.259277,-0.00976562,0.979492
2362255570,0.259766,-0.0185547,0.96875
2362279380,0.259766,-0.0131836,0.96582
2362294347,0.269531,-0.0126953,0.961426
2362315581,0.269043,-0.0205078,0.966797
2362337850,0.263184,-0.0317383,0.973145
2362354340,0.271484,-0.0332031,0.97168
2362376816,0.263184,-0.0195312,0.966309
2362397770,0.26709,-0.00537109,0.97168
2362414277,0.285645,-0.00537109,0.995117
2362436774,0.303711,-0.0258789,1.01953
2362458042,0.280273,-0.0322266,1.01025
2362474322,0.271973,0.000488281,0.979492
2362496822,0.277832,0.0214844,0.970703
2362518103,0.291992,0.0180664,0.980469
2362534308,0.280762,0.00341797,1.00049
2362556825,0.263184,0.00537109,1.00049
2362577988,0.261719,0.043457,0.964355
2362594353,0.263672,0.0727539,0.947266
2362616781,0.234863,0.0375977,0.983398
2362637988,0.189941,-0.0336914,1.03955
2362654328,0.161133,0.00976562,1.04492
2362676865,0.163086,0.0908203,1.01953
2362697888,0.175293,0.145996,0.996094
2362714373,0.15332,0.135254,1.00781
2362736838,0.130371,0.0913086,1.02393
2362758113,0.10791,0.0761719,1.01074
2362774366,0.113281,0.11084,0.983398
2362796751,0.116699,0.153809,0.956055
2362817889,0.109375,0.177734,0.947754
2362834236,0.109375,0.181152,0.953125
2362856779,0.0981445,0.193359,0.961426
2362877844,0.0610352,0.203613,0.955566
2362894408,0.0419922,0.235352,0.968262
2362916883,0.0410156,0.251953,0.963867
2362937813,0.0839844,0.274414,0.964844
2362954334,0.106445,0.288086,0.960449
2362976814,0.115723,0.264648,0.972656
2362997834,0.115723,0.214844,0.981934
2363014299,0.136719,0.14502,1.00684
2363036817,0.148926,0.0820312,1.01709
2363057841,0.163574,0.0395508,1.02881
2363074273,0.181641,0.00683594,1.0415
2363096791,0.179199,-0.00927734,1.04102
2363117782,0.165039,-0.00634766,1.04199
2363134272,0.188477,0.0268555,1.02197
2363156763,0.193359,0.0795898,1.01025
2363177827,0.191895,0.105957,1.01904
2363194242,0.197754,0.0854492,1.02393
2363216745,0.209961,0.0444336,1.03955
2363238113,0.224121,0.012207,1.03467
2363254391,0.227051,-0.00341797,1.04688
2363276848,0.226074,-0.0307617,1.05176
2363299362,0.258301,-0.0908203,1.06006
2363314325,0.248047,-0.0703125,1.05615
2363336799,0.242676,-0.0537109,1.02832
2363359277,0.225586,-0.0400391,1.01074
2363374293,0.180176,-0.0483398,0.991699
2363396795,0.212402,-0.0712891,0.967773
2363419311,0.0742188,-0.074707,0.983887
2363434337,0.0537109,-0.0703125,0.984863
2363456191,0.0263672,-0.046875,0.98291
2363478536,0.147461,-0.0458984,0.977051
2363494310,0.0771484,-0.00878906,0.978516
2363516009,0.0839844,0.00341797,0.976074
2363538486,0.0532227,-0.00732422,0.981445
2363554284,-0.0214844,-0.0488281,0.971191
2363575997,-0.0727539,-0.0693359,0.988281
2363598600,-0.0693359,-0.0654297,0.990234
2363614257,-0.0380859,-0.0146484,0.959961
2363636016,-0.0327148,-0.000488281,0.935547
2363658689,-0.0581055,-0.0273438,0.95166
2363674250,-0.0922852,-0.0644531,0.979492
2363696150,-0.0957031,-0.0639648,0.975098
2363718561,-0.0849609,-0.0351562,0.980957
2363741219,-0.111816,-0.0117188,0.96875
2363756164,-0.118164,-0.0249023,0.990234
2363778695,-0.0996094,-0.0371094,0.996582
2363801095,-0.0898438,-0.0205078,0.997559
2363816013,-0.0864258,-0.00292969,0.993652
2363838653,-0.0957031,0.0107422,0.998047
2363855026,-0.0996094,0.00195312,1.00049
2363876039,-0.0942383,-0.0107422,0.991699
2363898514,-0.0947266,-0.0249023,1.00146
2363915014,-0.090332,-0.0302734,1.00732
2363936404,-0.0830078,-0.0341797,1.01416
2363959983,-0.0581055,-0.0263672,1.0293
2363981037,-0.0317383,-0.0175781,1.02734
2363996038,-0.00878906,-0.0244141,1.03271
2364018510,0.00390625,-0.03125,1.03955
2364041022,0.00537109,-0.0424805,1.03027
2364056201,0,-0.0454102,1.02393
2364078663,0.00195312,-0.0585938,1.02832
2364101041,0.00244141,-0.0488281,1.021
2364116063,0.00683594,-0.0419922,1.01709
2364138514,0.000488281,-0.0332031,1.01123
2364161040,-0.0141602,-0.0234375,1.01025
2364175994,-0.00927734,-0.0141602,1.00977
2364198460,0.000488281,-0.00878906,1.00244
2364221189,-0.000488281,-0.0117188,0.999512
2364236068,-0.00537109,-0.0229492,1.00732
2364258765,-0.0078125,-0.0258789,1.01123
2364274417,-0.0078125,-0.0273438,1.01074
2364296188,-0.0161133,-0.0268555,1.01562
2364318589,-0.0151367,-0.0161133,1.03027
2364334299,-0.00634766,-0.012207,1.03613
2364356219,-0.000976562,-0.00488281,1.03516
2364378589,0.00537109,-0.00634766,1.0332
2364394386,-0.00732422,-0.0112305,1.03564
2364416032,-0.0175781,-0.0224609,1.03564
2364438517,-0.0219727,-0.0224609,1.03076
2364454303,-0.0126953,-0.0175781,1.02686
2364477448,-0.00976562,-0.00976562,1.02637
2364499980,-0.012207,-0.00195312,1.01904
2364514302,-0.0195312,-0.00195312,1.01562
2364537490,-0.0200195,0.00292969,1.00586
2364558514,-0.0151367,0.00634766,1.00537
2364574287,-0.0136719,0.0126953,0.999023
2364597451,-0.0078125,0.0234375,1.01416
2364618543,-0.00976562,0.03125,1.00977
2364634387,-0.000488281,0.0136719,1.0166
2364657459,0.00830078,0.00439453,1.01074
2364678502,0.00439453,0.00976562,1.00928
2364694299,0.00634766,0.0107422,1.01562
2364717448,0.00244141,0.0112305,1.02295
2364738599,0.00634766,0.0112305,1.0249
2364754445,0.000976562,0.0107422,1.01953
2364777467,0.00292969,0.00732422,1.01221
2364798597,0.000488281,0.0126953,1.01123
