myot,myox,myoy,myoz
1455129920,myox,myoy,myoz
284839772352,-0.0976562,-0.722656,0.694336
284839787372,-0.105469,-0.721191,0.698242
284839802387,-0.104492,-0.720703,0.699219
284839823717,-0.106934,-0.725586,0.699219
284839847406,-0.104004,-0.723145,0.699219
284839862975,-0.100098,-0.717773,0.697754
284839908115,-0.097168,-0.716797,0.697266
284839910142,-0.106934,-0.720215,0.687988
284839922434,-0.105469,-0.722656,0.698242
284839944349,-0.106445,-0.726562,0.699707
284839968072,-0.104492,-0.726562,0.693848
284839982339,-0.103516,-0.71875,0.696777
284840026162,-0.097168,-0.716797,0.69873
284840036215,-0.0991211,-0.725098,0.697754
284840042512,-0.102539,-0.716309,0.69043
284840064176,-0.100586,-0.724609,0.696289
284840086766,-0.106445,-0.717773,0.692383
284840101121,-0.10498,-0.725098,0.699707
284840124213,-0.105957,-0.723633,0.693848
284840146704,-0.10498,-0.704102,0.700195
284840161065,-0.0893555,-0.728027,0.708984
284840184171,-0.101562,-0.749023,0.712891
284840206594,-0.126953,-0.732422,0.702148
284840220986,-0.12207,-0.728027,0.696777
284840244113,-0.11084,-0.777344,0.719238
284840266637,-0.145508,-0.742188,0.70752
284840281000,-0.132324,-0.700195,0.682129
284840304131,-0.140137,-0.641602,0.692383
284840326603,-0.0625,-0.687012,0.686035
284840341018,-0.0493164,-0.727539,0.684082
284840364141,-0.0708008,-0.717773,0.686523
284840386647,-0.117188,-0.715332,0.685059
284840402418,-0.141113,-0.716797,0.674316
284840424165,-0.141113,-0.732422,0.686523
284840446701,-0.129883,-0.714355,0.681641
284840462444,-0.108887,-0.697754,0.690918
284840491663,-0.0913086,-0.687012,0.720703
284840506669,-0.0766602,-0.725098,0.710938
284840530686,-0.0898438,-0.681641,0.726562
284840544197,-0.10498,-0.689453,0.725098
284840566744,-0.112305,-0.717773,0.726074
284840583000,-0.125977,-0.748535,0.71582
284840604247,-0.160645,-0.758301,0.692383
284840626762,-0.144531,-0.666016,0.672363
284840642468,-0.116699,-0.692383,0.699219
284840664159,-0.111816,-0.747559,0.711426
284840686637,-0.134277,-0.742676,0.709961
284840702412,-0.154785,-0.677734,0.697754
284840723491,-0.123047,-0.684082,0.69043
284840746650,-0.0966797,-0.709473,0.703125
284840762441,-0.100586,-0.736328,0.720215
284840783515,-0.129395,-0.708496,0.700684
284840808156,-0.136719,-0.668945,0.686035
284840822516,-0.144531,-0.68457,0.688477
284840843530,-0.123535,-0.677734,0.6875
284840866790,-0.0961914,-0.694824,0.6875
284840882483,-0.101074,-0.700195,0.692383
284840903562,-0.0834961,-0.685547,0.701172
284840926683,-0.118164,-0.716797,0.677734
284840942527,-0.102051,-0.75,0.713867
284840963588,-0.130371,-0.77002,0.743652
284840986720,-0.175781,-0.743164,0.731445
284841002450,-0.171387,-0.701172,0.713379
284841025059,-0.123535,-0.711426,0.694336
284841048170,-0.0898438,-0.705566,0.698242
284841062490,-0.0776367,-0.692871,0.69873
284841085047,-0.0825195,-0.706055,0.70459
284841108184,-0.113281,-0.708984,0.709961
284841122414,-0.129883,-0.714355,0.709473
284841144994,-0.129883,-0.714844,0.712402
284841168125,-0.124023,-0.702637,0.707031
284841182437,-0.10498,-0.705078,0.701172
284841204975,-0.0952148,-0.710938,0.695312
284841228095,-0.111328,-0.708496,0.711914
284841250631,-0.119629,-0.71875,0.733887
284841265007,-0.141602,-0.728027,0.725586
284841288094,-0.131348,-0.697754,0.709961
284841309135,-0.116211,-0.693848,0.699707
284841324964,-0.102539,-0.709473,0.705078
284841348165,-0.101562,-0.691406,0.695312
284841369198,-0.115723,-0.708496,0.700684
284841384990,-0.133301,-0.734863,0.709961
284841408181,-0.131836,-0.715332,0.713379
284841429190,-0.12793,-0.698242,0.706543
284841445062,-0.112793,-0.705566,0.708984
