myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
105687531,0.853027,-0.43457,0.154297,1468766045055
105711254,0.857422,-0.430176,0.161621,1468766045079
105726203,0.867676,-0.433105,0.176758,1468766045094
105747602,0.879883,-0.423828,0.181152,1468766045115
105771233,0.894043,-0.413086,0.182129,1468766045139
105786242,0.88916,-0.40332,0.171387,1468766045154
105833207,0.878906,-0.418457,0.174805,1468766045201
105834080,0.870605,-0.413086,0.165039,1468766045202
105846274,0.868652,-0.41748,0.160156,1468766045214
105868416,0.867188,-0.42041,0.169434,1468766045236
105892316,0.874023,-0.40918,0.169434,1468766045260
105905232,0.882812,-0.413086,0.171387,1468766045273
105928813,0.886719,-0.402344,0.162598,1468766045297
105958210,0.880371,-0.422852,0.15918,1468766045326
105968579,0.868652,-0.431152,0.166992,1468766045336
105988257,0.858398,-0.441895,0.177734,1468766045356
106010618,0.859863,-0.433594,0.174805,1468766045379
106025726,0.866699,-0.410156,0.17041,1468766045394
106048144,0.883789,-0.414062,0.168457,1468766045416
106070784,0.879883,-0.414551,0.17627,1468766045439
106085744,0.879883,-0.418945,0.164551,1468766045454
106108126,0.868652,-0.416016,0.163086,1468766045476
106130735,0.867188,-0.41748,0.169434,1468766045499
106145764,0.872559,-0.409668,0.162598,1468766045514
106168312,0.87793,-0.425293,0.165527,1468766045536
106190789,0.879883,-0.421387,0.177734,1468766045559
106205777,0.871094,-0.424316,0.177734,1468766045574
106228275,0.872559,-0.418945,0.176758,1468766045596
106250736,0.871094,-0.413086,0.165527,1468766045619
106265632,0.871582,-0.410645,0.162598,1468766045633
106288246,0.868652,-0.422852,0.169922,1468766045656
106310736,0.875,-0.410645,0.158691,1468766045679
106325751,0.87793,-0.41748,0.181641,1468766045694
106348123,0.882812,-0.41748,0.174805,1468766045716
106371428,0.880859,-0.410645,0.174316,1468766045739
106385787,0.879883,-0.40332,0.162109,1468766045754
106416426,0.870605,-0.421387,0.161621,1468766045784
106430638,0.862305,-0.425781,0.169434,1468766045799
106445146,0.866699,-0.420898,0.166016,1468766045813
106468255,0.872559,-0.416016,0.177734,1468766045836
106490618,0.881836,-0.40918,0.174805,1468766045858
106504860,0.891602,-0.405762,0.175781,1468766045873
106528031,0.874512,-0.408203,0.153809,1468766045896
106550532,0.863281,-0.402832,0.152344,1468766045918
106564836,0.865234,-0.411133,0.151367,1468766045933
106588053,0.861328,-0.439453,0.164062,1468766045956
106610665,0.853027,-0.452148,0.174316,1468766045978
106625048,0.862793,-0.447266,0.175293,1468766045993
