timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
264848525241,-1,-2,3,-1,0,-2,-3,1
264848525241,-3,-7,-15,4,-1,0,2,1
264848530088,4,13,26,-4,1,-1,-5,2
264848530088,4,9,-7,-2,0,-2,-1,1
264848530858,-1,0,3,2,-2,-2,-2,-1
264848530858,-3,-4,-7,-1,-1,-1,12,0
264848531661,-6,-15,-1,-2,-1,0,-12,-5
264848531661,1,-1,-31,3,-2,1,0,-1
264848545113,4,14,33,0,6,-1,7,-1
264848545113,0,3,4,-2,-2,-1,-26,-2
264848552419,-5,-3,2,1,2,0,11,-1
264848552419,3,-2,-5,-4,-9,-7,-10,3
264848558772,-6,-20,-35,0,-2,-2,-3,-7
264848558772,7,16,12,-2,-1,2,9,1
264848573796,2,2,2,0,-2,-1,6,0
264848573796,-8,-14,-10,3,3,1,3,-1
264848583139,-2,2,3,2,-3,-5,-8,-1
264848583139,-3,-3,13,1,-3,-3,-1,-3
264848588761,2,1,-7,-4,0,0,-2,1
264848588761,2,6,19,-4,-1,0,11,5
264848604579,0,-1,-11,1,-4,-3,-15,-1
264848604579,-3,-8,-6,2,-2,0,2,-2
264848612359,0,-1,-13,-1,-1,-2,-8,-1
264848612359,-5,-6,4,2,-2,0,7,-4
264848652008,-1,-1,-1,-5,0,1,0,-1
264848652008,-2,-5,-1,0,-4,-1,-3,-2
264848652831,-2,-3,-7,-2,-1,-2,-3,-1
264848652831,-1,-7,3,0,-2,-2,-3,1
264848653628,0,0,-27,-1,3,-1,-1,-3
264848653628,3,17,34,-4,-2,-2,-1,-3
264848656029,-1,-1,-3,1,-1,-2,-1,-2
264848656029,2,1,-2,3,-1,-1,-1,0
264848664244,-2,-7,-3,-2,-2,0,8,1
264848664244,-5,-12,-23,-1,0,-4,-10,-3
264848671077,0,3,12,-3,-1,1,-2,3
264848671077,-3,0,0,-6,-1,-2,-12,-2
264848678585,3,6,13,-2,-1,0,3,2
264848678585,1,5,-13,-1,2,0,0,0
264848693630,2,8,14,3,-2,1,5,-3
264848693630,-2,-2,-8,-1,-1,-1,-5,-4
264848701787,-1,-2,10,0,0,-2,1,-1
264848701787,-3,-12,-14,-1,-1,0,5,0
264848708597,-1,-5,-14,-3,2,2,0,-2
264848708597,-1,0,-2,0,-2,-1,3,0
264848724296,-3,-6,-7,1,-7,-8,-9,-2
264848724296,2,3,12,-3,0,0,0,-1
264848731088,-2,-1,-4,1,-3,-1,-1,-2
264848731088,-2,-2,-4,-1,-1,1,0,1
264848738614,-2,-4,-4,-1,-1,1,-3,-2
264848738614,-2,3,4,-3,-2,1,4,2
264848753633,2,-2,15,-7,7,-1,-2,0
264848753633,2,6,-5,-3,-8,-2,2,-1
264848761777,-3,-3,-10,4,-3,-2,0,-3
264848761777,-5,-8,-10,0,-1,-1,-2,-1
264848768634,1,0,12,-2,5,2,-1,1
264848768634,1,-4,-19,0,-2,-6,3,0
264848784314,0,2,13,-1,-7,-2,-1,-1
264848784314,-4,-8,11,-3,6,8,-2,-3
264848791088,7,22,4,5,-2,-5,2,2
264848791088,-4,-14,-21,-3,-13,-7,-3,-4
264848798598,0,10,21,0,-2,-4,-3,-1
264848798598,-5,-1,9,-1,0,-1,3,-1
264848813599,2,-8,-16,-2,1,3,0,1
264848813599,0,6,16,-6,3,4,1,0
264848821750,2,-2,-12,-1,1,0,-3,0
264848821750,-1,-3,-6,2,-4,-2,-1,-2
264848828610,-5,-6,-5,-5,-1,-2,-3,-1
264848828610,0,-1,-2,0,0,-2,-1,0
264848844736,-3,-5,-2,-3,0,2,-1,1
264848844736,3,2,1,0,2,-1,2,3
264848852549,-4,-5,-11,1,-5,-4,-6,0
264848852549,0,-2,8,1,5,1,-3,-7
264848858623,-2,-3,-2,0,-5,0,7,-4
264848858623,1,-3,-8,1,5,-2,-10,5
264848873598,-1,0,3,-2,-9,-4,-8,-4
264848873598,-2,-8,-20,-1,0,3,2,-2
264848881791,4,19,34,-4,5,-1,-2,3
264848881791,1,-1,-17,0,-4,-5,-8,-2
264848896137,-4,-7,2,1,-1,0,6,-2
264848896137,1,6,5,-2,3,2,17,2
264848904265,-5,-11,-15,0,0,-1,-23,-6
264848904265,2,-1,-2,1,-4,-1,4,1
264848911054,0,-1,-5,0,-5,-2,-3,-1
264848911054,-2,0,13,0,1,-2,7,-3
264848918612,-1,-4,-11,1,-2,0,6,0
264848918612,-1,1,-4,-4,-3,-1,-2,-2
264848933585,-4,0,2,-2,1,-2,-5,-4
264848933585,1,3,11,3,-4,-1,2,2
264848941795,-3,-10,-11,-3,1,-1,-1,-5
264848941795,-3,-2,1,0,-2,-3,-9,-3
264848956064,-1,-3,-21,-2,-2,0,8,2
264848956064,-3,-1,15,-5,-2,-3,-15,-5
264848964278,1,3,-3,-1,-2,2,12,3
264848964278,-3,-1,2,-8,-3,0,-10,0
264848971094,0,-3,0,-2,-2,-5,-19,-8
264848971094,0,1,1,-2,1,-1,-3,1
264848978610,-1,-7,-9,-1,-1,-2,-9,-2
264848978610,1,0,2,-3,-2,-1,19,0
264848993569,-4,-1,0,-5,1,2,6,-1
264848993569,-5,-15,9,-1,3,2,-15,-2
264849001807,7,23,-3,3,-6,-4,13,-1
264849001807,1,4,-5,-2,-2,-2,2,0
264849016089,-4,-8,-10,-4,-6,-2,-2,-1
264849016089,1,3,10,5,1,-1,5,-1
264849024315,-3,-10,-5,-8,3,2,-2,0
264849024315,-1,-2,5,2,-2,-1,-3,-4
264849031107,-1,0,-1,-2,5,2,-3,0
264849031107,-3,-2,-10,-1,-15,-3,1,-1
264849038574,-2,-4,4,-1,-1,-1,-3,-2
264849038574,0,1,-1,-1,-2,-3,-4,0
264849053602,-2,-4,6,-1,-2,-1,8,3
264849053602,0,1,-6,-2,3,-3,-7,-4
264849061793,-3,2,4,0,4,-1,2,2
264849061793,0,-1,-2,-4,-3,-1,2,-3
264849076096,-1,0,2,-1,-1,-2,3,-1
264849076096,0,2,-3,-2,2,-2,-1,-1
264849084293,-1,-5,-11,2,-1,-3,-9,0
264849084293,-3,-2,8,1,0,-1,0,-2
264849091088,0,1,-4,1,0,0,0,-5
264849091088,3,6,14,-3,2,2,12,0
264849106797,-1,-4,-14,3,-2,-1,-10,-3
264849106797,0,2,21,-1,0,0,3,1
264849113587,0,-4,-6,5,0,-1,-7,0
264849113587,2,7,5,-3,0,2,7,0
264849121765,-3,-7,-6,-1,-1,0,3,1
264849121765,-2,-4,-12,-1,-2,-2,-1,-3
264849136076,-2,0,2,0,-2,-1,-3,-2
264849136076,-1,-4,-6,-1,0,1,-3,2
264849144275,-2,-7,-17,-3,-4,-1,6,2
264849144275,0,7,19,-3,1,-3,-7,1
264849151087,0,5,14,0,-4,0,10,-6
264849151087,-4,-7,-11,-1,0,1,-14,1
264849158626,0,3,8,-3,-1,-2,-13,-1
264849158626,-3,-7,-6,-3,-1,-2,2,-3
264849173622,-1,-6,-9,-3,0,0,-3,1
264849173622,0,2,-2,-2,0,0,4,3
264849181764,0,7,13,1,0,0,1,-3
264849181764,1,-1,-7,3,-2,-1,-5,-2
264849196094,-4,-7,-10,-5,-1,-1,2,1
264849196094,0,0,1,3,-3,-3,-8,-3
264849204248,-1,-3,0,-1,0,-1,7,1
264849204248,1,5,4,2,-2,0,-3,0
264849211095,0,2,-4,-2,-1,0,2,1
264849211095,-2,-4,2,-2,0,-1,-1,-4
264849226772,-3,-4,-2,2,-1,-1,-3,-2
264849226772,-3,-7,-13,0,-2,-1,0,-1
264849233575,-3,-1,12,1,-1,-1,-4,-2
264849233575,-1,3,-10,2,-3,-1,-2,1
264849241791,2,6,16,-1,-1,-1,3,3
264849241791,-3,-5,-14,1,-1,-1,1,-4
264849256101,-2,-2,-2,1,2,2,13,-8
264849256101,-4,-6,1,-3,0,-3,-18,-3
264849264340,0,-2,-7,1,-2,-1,-4,-3
264849264340,-2,-2,-4,2,-1,1,4,3
264849271105,0,0,2,0,-2,-3,-1,2
264849271105,1,-5,-18,-3,2,-1,3,-3
264849286812,1,8,21,-1,-1,-2,4,1
264849286812,-1,-3,-9,-5,1,0,-2,-4
264849293602,1,8,12,-2,-2,-2,-3,0
264849293602,-3,-5,-3,0,-1,-1,3,1
264849302529,-2,-7,-9,0,-1,-1,-5,-1
264849302529,1,-3,-4,0,-1,-1,1,0
264849316086,-2,-5,-4,-1,0,0,-5,1
264849316086,2,6,6,0,-4,-3,0,2
264849325069,-3,-4,-7,-4,0,-2,-2,-5
264849325069,-4,2,4,2,0,2,15,-8
264849331108,-1,-2,-9,1,-2,-4,-16,0
264849331108,-1,2,5,4,0,0,2,-2
264849347740,-1,-2,2,0,-2,-2,-3,1
264849347740,-1,-1,2,-2,-1,-1,-1,1
264849362576,0,-3,3,-2,0,-2,1,-1
264849362576,-2,-2,-17,-3,-1,-1,3,0
264849364115,-1,-1,11,-5,-1,0,-2,-2
264849364115,0,-5,-20,-1,-2,-1,-5,1
264849376320,0,4,17,0,1,-1,1,1
264849376320,3,5,10,2,-1,1,-1,-1
264849385160,-2,-5,-7,4,0,1,-3,-2
264849385160,-2,-3,-6,-7,-2,0,-4,-1
264849391277,-1,-2,1,-1,-3,-2,2,1
264849391277,0,1,0,1,3,1,-12,-2
264849407606,1,-2,0,-1,0,-2,-3,-5
264849407606,-1,-4,-2,-1,-2,-2,-2,1
264849413672,0,4,4,2,0,0,-3,-7
264849413672,-3,-5,-3,-5,2,1,4,0
264849422625,-1,-1,-8,2,2,2,3,0
264849422625,0,7,2,-5,-3,-5,-12,1
264849436132,-3,-9,-3,-2,-3,-3,-1,0
264849436132,0,4,7,-3,-1,-1,2,-1
264849445053,-1,-1,-2,-4,1,-1,-3,0
264849445053,-2,-5,-1,2,0,0,2,1
264849451136,0,5,-7,0,0,1,-1,0
264849451136,-1,-9,-9,0,-2,1,14,1
264849467616,-1,-2,-3,-1,1,-2,-13,-4
264849467616,0,-5,6,2,-4,-3,-5,1
264849473627,3,7,-9,-7,0,-1,-1,-4
264849473627,-1,1,12,1,-2,-2,-3,1
264849490223,-3,3,-1,-3,1,2,4,-7
264849490223,-1,-3,-4,0,-3,-1,-2,-2
264849496280,-4,-9,-9,0,-3,-2,-6,-1
264849496280,-3,-13,-20,-2,1,-1,2,1
264849505116,6,25,43,-2,-1,1,1,3
264849505116,0,3,5,-1,2,-2,-7,-2
264849511203,-2,-5,-3,1,0,0,6,3
264849511203,-3,-2,-9,-4,-3,-2,-2,-2
264849527727,-4,-13,-15,0,-4,-1,0,-1
264849527727,1,7,6,2,1,1,2,0
264849533594,-1,0,-6,-2,-2,-1,0,0
264849533594,-2,-4,-3,2,1,-1,-2,-2
264849548584,-1,-5,-11,-2,-3,-3,1,0
264849548584,1,5,8,-3,-5,-1,0,-1
264849556143,2,-3,0,-3,1,0,-2,8
264849556143,-1,6,7,-2,-2,-3,-14,-13
264849565071,-6,-13,-15,1,-3,-3,0,-3
264849565071,0,1,-8,0,3,1,0,1
264849571067,-1,4,3,-3,0,-2,0,-2
264849571067,-2,-2,14,-1,-2,0,1,0
264849587553,0,-2,-4,-2,0,0,-2,3
264849587553,0,-1,4,2,2,-1,1,-5
264849593596,0,-3,-9,-4,0,0,2,2
264849593596,-2,0,-10,0,-1,-3,1,-2
264849608565,-3,-4,-4,-2,-4,-3,-1,-4
264849608565,0,0,1,0,-2,1,-1,1
264849616059,0,-1,3,2,-1,0,-2,-1
264849616059,-3,-3,0,-1,-4,0,3,1
