timestamp,x,y,z
10037472181,5.3125,-5.875,-14.375
10037486042,8.875,-5.625,-1.8125
10037509246,-0.3125,-6.3125,8.8125
10037531743,-11.4375,-8.25,20.125
10037546064,-16.375,-10.25,30.0625
10037559685,-10.8125,-11.3125,39.625
10037574655,-6.625,-12,49.375
10037597104,-11.6875,-12.8125,58.375
10037619899,-20.3125,-12.1875,65
10037634883,-23.4375,-13.6875,71.8125
10037657323,-22.5625,-16.375,82.6875
10037679725,-22.3125,-17,94.1875
10037694670,-25.25,-13.9375,103
10037717151,-27,-11.625,107.062
10037739697,-29.9375,-12.625,111.625
10037754818,-36,-20.0625,115.75
10037777307,-44.4375,-30.4375,121.375
10037799654,-49.25,-36.6875,129.312
10037814833,-60.8125,-40.875,134.5
10037837174,-75.25,-49.5625,136.812
10037859840,-84,-57.0625,138.5
10037874629,-81.8125,-64.375,146.062
10037897349,-69.625,-76.5,161.062
10037919908,-63.875,-80.9375,167.188
10037934824,-61.6875,-84.0625,168.938
10037957230,-53.8125,-84.125,181.438
10037979693,-24.625,-86.0625,193.375
10037994837,7.3125,-90.625,204.688
10038017328,14,-89.5,213.062
10038039816,-3.25,-90.8125,224.875
10038054707,-31.6875,-98.9375,233
10038077204,-40.1875,-106.25,233.625
10038099819,-20.1875,-110.5,229.25
10038117596,7.375,-118.188,227.5
10038137364,25.375,-128.438,230.375
10038159852,16.8125,-132.062,224.375
10038174633,6.3125,-126.438,218.438
10038197116,-5.5625,-133.125,214.938
10038219638,-10,-138.875,208.062
10038234652,-12.1875,-136.312,192.375
10038258588,-14.75,-130.375,172.125
10038279741,4.3125,-123.125,156.375
10038294869,27.9375,-115.75,143.312
10038317330,33.875,-105.375,131.312
10038339779,23.4375,-92.4375,117.375
10038354876,10.5,-84.625,104.75
10038377318,-0.9375,-79.0625,92
10038399814,-4.0625,-73.5,76.8125
10038414808,0.375,-68.125,64.625
10038437384,5.625,-56.625,51
10038459901,8.5,-48.5625,37.375
10038474826,-4.0625,-45.375,32.75
10038497148,-25.125,-44.4375,21.0625
10038519677,-18.125,-34,8.9375
10038534642,18.6875,-21.5625,1.8125
10038557192,48.5625,-9.1875,-9.25
10038579838,43.625,3.9375,-17.0625
10038594873,16,9.875,-23.5
10038617382,-8.625,14.6875,-32.625
10038639777,-17.125,19.875,-42
10038654857,-13.875,25.25,-52.3125
10038677352,-11.4375,32,-63.3125
10038699852,-3.25,39.6875,-69.3125
10038714697,2.0625,48.5625,-74.875
10038737349,-2.0625,53.25,-81.125
10038759903,-18.5,59.5,-92.9375
