myoTS,x,y,z
492126103471,-0.125,1.3125,-0.5
492126118449,0.625,1.125,-0.5625
492126142091,0.9375,0.875,-0.0625
492126163432,-0.0625,0.6875,0.125
492126178443,-0.75,0.6875,-0.1875
492126232819,-0.25,0.4375,-0.5625
492126234915,0.4375,0.25,-0.4375
492126241098,0.3125,0.1875,0
492126249888,0.1875,0.1875,0.1875
492126270546,0.5,0.1875,0.1875
492126292791,0.75,0.125,0.25
492126314231,0.3125,0.25,0.125
492126358320,-0.8125,0.3125,-0.125
492126367866,-0.375,0.0625,-0.1875
492126373962,0.25,-0.375,-0.0625
492126388975,-0.1875,0,-0.1875
492126411513,-0.375,0.3125,-0.375
492126425824,-0.125,0.0625,-0.5
492126448361,-0.375,0.0625,-0.25
492126470885,-0.9375,-0.4375,0
492126485850,-1.9375,-0.0625,0.125
492126508360,0.25,0.625,-0.0625
492126530841,-0.625,1.625,-0.4375
492126545820,-1.1875,0.9375,-0.5
492126568270,-1.3125,0.5625,-0.125
492126590924,-0.8125,0.3125,-0.125
492126605837,-1.1875,0.125,0
492126628348,-1.0625,-0.3125,-0.0625
492126650847,0.125,-0.875,-0.25
492126665831,-1,-0.875,-0.25
492126688261,-1.1875,-0.5,-0.1875
492126710827,-0.5625,-0.1875,0
492126725852,-0.25,0.25,0.125
492126748291,-0.0625,0.4375,0.3125
492126779551,-0.1875,0.4375,0.1875
492126785899,-0.9375,0.3125,0.25
492126816435,-1.25,0,0.0625
492126830781,-0.1875,-0.25,-0.0625
492126853249,0.375,0.125,-0.1875
492126868215,0.625,0.25,-0.1875
492126890744,0.5,0.375,-0.0625
492126913327,0.3125,0,-0.0625
492126928276,0.0625,0,0
492126950768,0.25,0.4375,0.0625
492126965910,0.25,0.125,0.0625
492126988393,0.375,0,0.25
492127010848,0.375,-0.4375,0.1875
492127025810,0.625,-0.9375,0.4375
492127048294,0.5625,-1.0625,0.5625
492127070803,0.25,-1.1875,0.5625
492127085813,0.5625,-0.6875,0.5625
492127108287,0.125,-0.1875,0.375
492127130813,-0.0625,-0.125,0.5
