myot,x,y,z
610450611969,0.25,-0.25,0.1875
610450626974,-0.125,0.0625,0.25
610450648330,-0.4375,0,0.0625
610450671992,-0.5,-0.1875,-0.125
610450686991,-0.125,-0.4375,-0.3125
610450708355,-0.125,-0.25,-0.375
610450747620,0.0625,-0.0625,-0.3125
610450749711,-0.5,-0.25,-0.0625
610450769753,-0.75,-0.3125,-0.1875
610450792009,-0.875,-0.125,-0.125
610450809732,-0.5625,-0.3125,0.0625
610450829898,-0.75,-0.25,0.3125
610450866316,-0.3125,-0.125,0
610450890300,-0.0625,0.125,0
610450891111,-0.25,-0.125,0.125
610450912046,-0.5,-0.3125,0.25
610450927109,-0.6875,-0.3125,0.0625
610450949578,-0.5,-0.1875,-0.1875
610450970674,0,0,-0.625
610450987072,0.5625,-0.0625,-0.75
610451010041,0.625,-0.25,-0.5
610451030638,0.3125,-0.0625,0
610451047045,0,0.25,-0.0625
610451069594,0.125,-0.0625,-0.1875
610451090618,-0.125,-0.4375,-0.375
610451107039,0.3125,-0.3125,-0.125
610451129551,0,0.125,0.125
610451150598,0.375,0.3125,0
610451167066,0.5625,0.3125,-0.375
610451189547,0.6875,-0.0625,-0.4375
610451210633,0.375,0,-0.25
610451227096,-0.0625,0.125,0.0625
610451249621,-0.3125,0.1875,0.125
610451270639,-0.375,0.0625,0.0625
610451287126,-0.375,-0.375,-0.125
610451309577,-0.1875,-0.0625,-0.125
610451330686,-0.1875,0.1875,0.125
610451347061,-0.0625,0,0.1875
610451369609,-0.125,0.125,0.125
610451390596,-0.125,0.0625,0.0625
610451407051,0,0.125,0.125
610451429542,-0.1875,0.0625,0.25
610451450635,-0.5,0.125,0.125
610451467071,-0.5,-0.125,0.125
610451489604,-0.875,-0.375,0.3125
610451518777,-0.875,-0.0625,0.1875
610451527089,-0.6875,0.0625,-0.3125
610451549543,-0.25,-0.125,-0.375
610451572046,0.0625,0,-0.1875
610451587071,0,0.1875,0.25
610451609551,-0.1875,0.125,0.4375
610451632090,-0.625,0.1875,0.3125
610451647063,-0.4375,-0.1875,0.1875
610451669560,-0.5,-0.4375,0.1875
610451692159,-0.125,-0.25,0.375
610451707109,0.125,0.0625,0.5
610451728884,0.25,0.3125,0.3125
610451751373,0.0625,-0.0625,0.25
610451766359,-0.5625,-0.1875,0.125
610451788813,-0.875,-0.25,0
610451811458,-1,-0.125,0
610451826327,-0.4375,-0.0625,-0.0625
610451848836,-0.125,-0.25,0.125
610451871305,0.0625,-0.125,0.125
610451887722,0.1875,0.1875,-0.0625
610451908784,0,0.25,-0.25
610451931321,-0.0625,0.0625,0.0625
610451947811,-0.25,0.0625,0.3125
610451968837,-0.125,0.25,0.5
610451991298,0.125,0.5625,0.375
610452007761,-0.375,0.375,0.125
610452028798,-0.5,-0.125,0.5
610452051333,-0.8125,-0.25,0.5625
610452067755,-0.1875,-0.125,0.3125
610452088840,0.5,0.25,0.125
610452111327,1.125,0.375,0.0625
610452133882,0.9375,1,0.3125
610452148871,1.125,0.875,0.5
610452171292,0.75,0.4375,-0.0625
610452187746,0.1875,-0.125,-0.625
610452208798,-1,-0.3125,-0.9375
610452231329,-1.375,-0.4375,-0.5625
610452247764,-0.9375,-0.1875,-0.1875
610452268836,0.375,0.25,-0.4375
610452291360,1,0,-0.3125
610452307735,0.25,0.25,-0.0625
610452328802,-0.4375,0.5625,0.8125
610452351312,-1.4375,0.6875,1.75
610452367731,-1.5625,0.5625,2.0625
610452388822,-0.5,0.375,1.5
610452411335,-2.25,1.375,1.125
610452427799,-4.5625,2.1875,0.6875
610452450223,-7.125,2.8125,-0.1875
610452471339,-8.625,3.0625,-1.4375
610452487179,-8.5,3.8125,-1.875
610452508780,-7.125,7.3125,-1.25
610452531364,-6.1875,10.75,-0.625
610452547088,-5.5,11.9375,0.5625
610452568863,-6.125,11.875,1
610452591379,-5.1875,12.125,-0.25
610452607125,-3.125,10.9375,-2
610452630249,-4.125,9.25,-1.8125
610452651407,-8.75,9.25,-2.25
610452667064,-12.1875,10.75,-2.625
610452690251,-13.625,12.0625,-2.5
610452711328,-13.875,12.5,-1.3125
610452727118,-16.625,11.8125,1.875
610452750275,-20.125,11.75,3.875
610452771343,-19.25,13,3.75
610452787097,-16.1875,13.6875,1.875
610452810240,-13.3125,11.8125,-0.3125
610452831397,-10.4375,8.9375,-2
610452847113,-6.875,8.0625,-3.3125
610452870275,-4.5625,8.375,-5.5625
610452891298,-2.875,8.6875,-6.625
610452907109,-1,8.4375,-5.5625
610452930244,1.4375,8.0625,-2.6875
610452951283,0.3125,7,0.125
610452967175,-1.5625,4.9375,1.625
610452990269,-3.4375,3.5,1.8125
610453011469,-5.1875,0.25,-0.3125
610453027190,-2.875,-3.9375,-4
610453050249,-1,-7.4375,-6.875
610453071316,-4.1875,-9.8125,-9.0625
610453087186,-0.375,-10.1875,-11.25
610453110294,10.4375,-9.75,-15.3125
610453131351,1.9375,-8,-18.375
610453147124,4.3125,-8.25,-21.5625
610453170264,-1.3125,-7.125,-22.375
610453191334,-1,-5.25,-23.5
610453213808,-2.4375,-5.9375,-21.875
610453230281,-2.1875,-8.875,-22.5625
610453251365,-5.25,-12.4375,-20.6875
610453267127,2.4375,-14.9375,-21.0625
610453290280,11.8125,-13.375,-21.5625
610453311300,15.9375,-11.375,-21.25
610453327089,7.125,-9.4375,-19.0625
610453350261,-3.625,-11.75,-15.6875
610453371387,9.625,-13.8125,-17.75
610453387177,6.4375,-10.5625,-20.0625
610453409656,14.1875,-11.9375,-23.75
610453431363,12,-8.8125,-23.3125
610453447124,13.1875,-6.25,-23.875
610453469586,7.5,-3.9375,-27.25
610453491366,16.125,-7.75,-33.875
610453507097,3.0625,-7.875,-33.8125
610453529590,-9.8125,-8.5,-29
610453551329,-12.8125,-10.5625,-25.375
610453567106,-10.3125,-9.3125,-21.8125
610453589591,-13.875,-5.875,-20.5625
610453612746,-27.0625,-6.8125,-21.3125
610453627142,-19.875,-9.9375,-22.0625
610453649615,-17.375,-7.875,-23.9375
610453672768,-12.3125,-6.875,-25.625
610453687129,-5.5,-6.75,-33.0625
610453709609,-19.4375,-5.6875,-31.875
610453738907,-26.6875,-12.125,-31.25
610453747086,-21.0625,-10.375,-31.9375
610453769597,-30.8125,-9.25,-25.5625
610453792807,-32.4375,-17.5625,-16.4375
610453807121,-19.875,-12.1875,-20.625
610453829619,-28.375,-7.1875,-21.875
610453852780,-25.5625,-10.75,-14.25
610453873922,-30.4375,-8.5625,-18.8125
610453889586,-29.8125,-6.9375,-15.5
610453912791,-25.75,-7.8125,-17.25
610453933850,-22,-6.375,-18.75
610453949664,-27.75,-2.4375,-16.4375
610453972765,-29.375,-4.0625,-10.3125
610453993833,-25.25,-3.875,-5.0625
610454009591,-21.0625,-2.0625,-4.4375
610454032741,-13.875,-3.5,-3.4375
610454053938,-23.75,5.5625,-2
610454069645,-48.0625,4.0625,3
610454092824,-32.25,2.4375,-8.4375
610454113902,-28,-2.25,-10.875
610454129617,-21.8125,-5.5625,-8.5625
610454152769,-23.1875,-1.8125,-6.5
610454173938,-33.875,2.8125,1.8125
610454189742,-22,2.125,0.125
610454212803,-27.1875,0.5,2.625
610454233852,-10.5625,-4.125,4.3125
610454249618,-4.625,-4.3125,3.1875
610454272813,-14.125,0.375,1.625
610454295300,-17.75,0.3125,-3.125
610454309641,-16.0625,-4.25,0.5625
610454332116,-11.5,-5.75,1.1875
610454353849,0.0625,-6.125,-1.8125
610454369618,-5.3125,-5.0625,-0.5625
610454392594,-14.8125,0,2.25
610454413848,-8.875,0.375,2.75
610454429614,-7.1875,-1.1875,5.0625
610454452124,-1.9375,-0.1875,6.625
610454473849,-7.3125,3.375,10
610454489617,-5.75,3.875,10.0625
610454512093,-2.9375,2.5,10.75
610454535332,1.6875,-0.8125,13.0625
610454549641,-3.0625,1.3125,15.75
610454572659,-4.1875,4.3125,17.8125
610454595294,-1.3125,4.0625,18.1875
610454609620,1.5625,2.5625,18.5
610454632145,2.5,2.75,19.0625
