myot,x,y,z
152035685615,2.125,0.375,-0.4375,1464789824321
152035700670,2.125,0.4375,-1.0625,1464789824336
152035724343,3.8125,-0.0625,-1.25,1464789824359
152035745673,2.25,-0.0625,-1.625,1464789824381
152035760634,2.0625,-0.375,-1.8125,1464789824396
152035784318,4.375,-0.1875,-1.4375,1464789824419
152035830096,2.6875,0.4375,-0.375,1464789824465
152035832145,1.875,1.375,1.6875,1464789824467
152035844361,1.5,3.4375,4.0625,1464789824479
152035866332,6.5,6,7.25,1464789824501
152035892785,-1.25,7.125,10,1464789824528
152035905616,-5.125,6.4375,11.75,1464789824541
152035926459,-14.75,4.1875,8,1464789824562
152035963004,-25.5625,-1,2.125,1464789824598
152035973108,-10.1875,-4.875,-10.875,1464789824608
152035986155,10.75,-11.25,-23.625,1464789824621
152036001126,11,-18.3125,-41,1464789824636
152036031829,-0.8125,-20.6875,-64.8125,1464789824667
152036046167,-11.875,-21.8125,-90.5,1464789824681
152036061179,-2.75,-8.625,-101.562,1464789824696
152036083637,-96.75,-13.0625,-96.3125,1464789824719
152036106127,-13.75,-11.875,-60.625,1464789824741
152036121145,27.9375,18.0625,-26.125,1464789824756
152036143690,58.0625,-6.625,10.75,1464789824779
152036166164,-57.5,7.625,52.9375,1464789824801
152036181143,74.8125,73.75,249.625,1464789824816
152036205081,97.5,177.438,437.438,1464789824840
152036225886,128.688,239.375,497.875,1464789824861
152036241172,139.062,239.125,515.062,1464789824876
152036263678,34.4375,256.062,437.688,1464789824899
152036286222,89.875,139.25,347.188,1464789824921
152036301183,124.5,36.5625,161.875,1464789824936
152036323676,110.375,-37.125,-131.812,1464789824959
152036346156,234.188,-131.188,-193.5,1464789824981
152036361163,146,-114,-204.812,1464789824996
152036383679,49.6875,-170.375,-221.375,1464789825019
152036406121,-46.0625,-132.75,-190.875,1464789825041
152036421172,-129.812,-115.75,-190.062,1464789825056
152036443663,-179.438,-93.8125,-178.938,1464789825079
152036466167,-174,-91.25,-178.812,1464789825101
152036481202,-123.75,-88.5,-168.062,1464789825116
152036503648,-50.625,-92.375,-154.875,1464789825139
152036525953,8.1875,-91.9375,-136.312,1464789825161
152036541158,46.4375,-86,-117.938,1464789825176
152036563628,72.625,-74.6875,-93.5625,1464789825199
152036586215,79.25,-60.5,-71.125,1464789825221
152036600494,77.8125,-47.4375,-45.375,1464789825236
152036625094,64.375,-36,-20.3125,1464789825260
152036646180,29.4375,-27.3125,10.9375,1464789825281
152036660539,-23.25,-16.4375,40.6875,1464789825296
152036683624,-78.8125,-16.875,73.0625,1464789825319
152036706110,-92.3125,-7.5,80.125,1464789825341
152036720472,-31.3125,-11.5625,114.875,1464789825356
152036745103,-87.375,66.125,118.562,1464789825380
152036766177,-80.25,16.75,51.3125,1464789825401
152036788657,-3.5,-21.3125,13.6875,1464789825424
152036811154,31.5625,-4.625,28.75,1464789825446
152036826160,23.75,-22.0625,27.375,1464789825461
152036840495,-0.0625,-27.5625,26.6875,1464789825476
